0	dis	[0.018251841929001936, 0.016610850636302858, 0.012659075686537147, 0.02294134164551115, 0.0244042001666071, 0.02728060100986157]
0	gen	[0.00011163206072784103, 0.00020093770931011386, 0.00013395847287340923, 0.00012815817766051937, 0.00024361244035380565, 0.0002316650133758125]
1	dis	[0.01869837017191329, 0.016577361018084512, 0.012625586068318793, 0.023583996369849675, 0.02453351580761747, 0.027443234771024443]
1	gen	[0.0, 6.697923643670463e-05, 6.697923643670463e-05, 0.0, 4.725798656064083e-05, 6.906797223678322e-05]
2	dis	[0.01864255414154937, 0.016443402545211094, 0.01257535164099127, 0.023419759177362914, 0.02443899884353752, 0.02740228139141861]
2	gen	[0.0034605938825630713, 0.002076356329537841, 0.0010381781647689206, 0.005621973351968973, 0.004884427050902275, 0.004594044721958858]
3	dis	[0.018586738111185455, 0.016610850636302864, 0.012558606831882094, 0.02307645758991075, 0.02431435810078901, 0.027197188450940313]
3	gen	[0.0008930564858227281, 0.0005693235097119895, 0.002210314802411248, 0.0006527291150242388, 0.0005416531835710262, 0.0027250737389650967]
4	dis	[0.018586738111185455, 0.016409912926992745, 0.012508372404554567, 0.023250699689040758, 0.024315545770309987, 0.02724091390569852]
